PU1S1,PU2S1,PU3S1,PU4S1,PU5S1,PU6S1,PEU1S1,PEU2S1,PEU3S1,PEU4S1,PEU5S1,PEU6S1,AU1S1,AU2S1,AU3S1,IU1S1,IU2S1,IU3S1,PU1S2,PU2S2,PU3S2,PU4S2,PU5S2,PU6S2,PEU1S2,PEU2S2,PEU3S2,PEU4S2,PEU5S2,PEU6S2,AU1S2,AU2S2,AU3S2,IU1S2,IU2S2,IU3S2,PU1S3,PU2S3,PU3S3,PU4S3,PU5S3,PU6S3,PEU1S3,PEU2S3,PEU3S3,PEU4S3,PEU5S3,PEU6S3,AU1S3,AU2S3,AU3S3,IU1S3,IU2S3,IU3S3,S1PU,S1PEU,S1AU,S1IU,SCEN1,SCEN2,SCEN3,SCEN_prod,Visual,Vis_max,Complete,PUS1_tot,PUS2_tot,PUS3_tot,PEUS1_tot,PEUS2_tot,PEUS3_tot,AUS1_tot,AUS2_tot,AUS3_tot,IUS1_tot,IUS2_tot,IUS3_tot,S1_tot,S2_tot,S3_tot,filter_MV,S_tot
7,6,7,6,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,6,7,7,7,7,7,7,6,6,7,7,7,7,7,6,6,7,7,6,7,7,7,7,7,7,7,7,7,7,7,6,6,7,7,7,7,7,7,7,1,2,2,4,2,0,1,40,41,41,42,40,42,21,21,19,21,19,21,124,121,123,1,368
7,6,6,6,7,7,6,7,7,7,4,7,7,5,7,7,4,6,7,6,7,7,7,7,7,7,7,7,4,7,4,5,7,7,6,4,7,6,6,6,7,7,7,7,7,7,4,7,7,7,7,6,6,6,6.5,7,7,6,1,1,1,1,0,0,1,39,41,39,38,39,39,19,16,21,17,17,18,113,113,117,1,343
6,5,5,6,6,6,6,7,5,7,6,7,7,7,7,6,6,6,6,6,7,7,7,7,7,6,7,6,6,7,7,7,7,7,7,7,7,6,7,7,7,7,7,7,6,7,7,7,6,6,6,6,6,6,6,6.5,7,6,2,2,1,4,2,0,1,34,40,41,38,39,41,21,21,18,18,21,18,111,121,118,1,350
5,5,5,5,5,5,5,6,5,5,5,5,5,6,5,5,5,5,6,5,6,5,5,5,5,5,5,5,5,6,5,5,5,5,5,5,5,5,6,5,6,5,5,5,5,5,5,5,5,6,5,5,5,5,5,5,5,5,1,1,2,2,1,0,1,30,32,32,31,31,30,16,15,16,15,15,15,92,93,93,1,278
7,6,7,7,7,7,4,7,6,7,6,6,6,5,6,7,7,7,7,6,6,7,7,7,7,6,6,6,6,7,5,5,6,7,7,7,7,6,7,7,7,7,7,7,7,7,7,7,7,6,7,7,7,7,7,6,6,7,2,2,2,8,3,1,1,41,40,41,36,38,42,17,16,20,21,21,21,115,115,124,1,354
7,6,6,7,7,7,7,6,6,7,7,7,7,6,7,7,7,7, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,7,7,7,7,2,0,0,0,,,0,40, , ,40, , ,20, , ,21, , ,121, , ,0, 
7,6,7,7,7,7,6,7,7,7,6,7,7,7,7,7,7,7,7,6,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,6,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,2,2,2,8,3,1,1,41,41,41,40,42,42,21,21,21,21,21,21,123,125,125,1,373
6,6,6,6,6,6,3,3,1,1,1,1,2,2,2,5,5,5,2,2,2,2,2,2,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,2,2,2,2,2,2,6,1,2,5,2,2,2,8,3,1,1,36,12,30,10,30,30,6,15,6,15,15,6,67,72,72,1,211
6,5,5,3,6,6,7,6,7,3,5,6,6,5,6,6,6,6,4,5,4,5,4,6,3,5,5,6,6,5,5,4,4,5,5,5,3,3,3,2,2,3,6,5,5,4,4,5,4,3,3,3,4,4,5.5,6,6,6,2,1,2,4,2,0,1,31,28,16,34,30,29,17,13,10,18,15,11,100,86,66,1,252
6,5,5,5,6,6,5,4,4,4,3,4,5,4,5,5,5,6,6,6,5,6,6,6,5,4,5,4,4,5,5,4,5,5,5,6,5,5,5,5,5,5,4,4,5,4,4,5,5,4,5,5,5,6,5.5,4,5,5,2,2,2,8,3,1,1,33,35,30,24,27,26,14,14,14,16,16,16,87,92,86,1,265
6,5,6,4,5,6,7,3,6,4,7,7,6,4,5,6,4,6,5,5,4,4,6,6,6,7,6,7,6,5,6,4,6,7,7,6,2,6,4,4,6,6,5,6,6,7,5,5,6,4,6,6,6,6,5.5,6.5,5,6,2,1,1,2,1,0,1,32,30,28,34,37,34,15,16,16,16,20,18,97,103,96,1,296
6,4,6,5,6,6,6,5,6,6,6,6,6,5,6,6,6,6,7,5,7,6,6,7,7,7,6,6,6,6,6,6,6,7,7,7,6,5,5,3,4,5,6,6,6,6,4,6,5,4,5,6,5,6,6,6,6,6,2,2,2,8,3,1,1,33,38,28,35,38,34,17,18,14,18,21,17,103,115,93,1,311
